date,open,high,low,close
2024-09-11 07:15:00,1.10443,1.10507,1.10436,1.10498
2024-09-11 07:30:00,1.10498,1.1052,1.10438,1.10446
2024-09-11 07:45:00,1.10445,1.10458,1.10405,1.10412
2024-09-11 08:00:00,1.10413,1.10468,1.10368,1.10453
2024-09-11 08:15:00,1.10452,1.10456,1.10416,1.10449
2024-09-11 08:30:00,1.1045,1.1048,1.10436,1.10475
2024-09-11 08:45:00,1.10473,1.1048,1.10438,1.1044
2024-09-11 09:00:00,1.10439,1.10469,1.1042,1.1046
2024-09-11 09:15:00,1.10459,1.10491,1.10436,1.10436
2024-09-11 09:30:00,1.10437,1.10484,1.10427,1.10453
2024-09-11 09:45:00,1.10452,1.10466,1.10422,1.10422
2024-09-11 10:00:00,1.10422,1.10425,1.10388,1.10418
2024-09-11 10:15:00,1.10417,1.10465,1.1041,1.10442
2024-09-11 10:30:00,1.10442,1.10479,1.10432,1.10445
2024-09-11 10:45:00,1.10444,1.1049,1.10434,1.10489
2024-09-11 11:00:00,1.10488,1.10532,1.10488,1.10499
2024-09-11 11:15:00,1.10499,1.10549,1.10491,1.10524
2024-09-11 11:30:00,1.10526,1.10528,1.10481,1.10485
2024-09-11 11:45:00,1.10485,1.10512,1.10428,1.10436
2024-09-11 12:00:00,1.10436,1.10438,1.10399,1.10423
2024-09-11 12:15:00,1.10424,1.1049,1.1041,1.10438
2024-09-11 12:30:00,1.10438,1.10438,1.1007,1.10089
2024-09-11 12:45:00,1.1009,1.10219,1.10035,1.10164
2024-09-11 13:00:00,1.10165,1.1026,1.10128,1.10245
2024-09-11 13:15:00,1.10246,1.10263,1.10158,1.1016
2024-09-11 13:30:00,1.1016,1.10216,1.10134,1.10202
2024-09-11 13:45:00,1.10202,1.10206,1.10098,1.1013
2024-09-11 14:00:00,1.1013,1.1014,1.10058,1.10125
2024-09-11 14:15:00,1.10126,1.10154,1.10048,1.10085
2024-09-11 14:30:00,1.10086,1.10092,1.10022,1.10046
2024-09-11 14:45:00,1.10046,1.10115,1.10022,1.10104
2024-09-11 15:00:00,1.10104,1.10171,1.10078,1.10166
2024-09-11 15:15:00,1.10165,1.10166,1.10098,1.10138
2024-09-11 15:30:00,1.10138,1.10158,1.10112,1.10134
2024-09-11 15:45:00,1.10135,1.10155,1.10105,1.10122
2024-09-11 16:00:00,1.10122,1.10178,1.101,1.1016
2024-09-11 16:15:00,1.10159,1.10176,1.10118,1.10124
2024-09-11 16:30:00,1.10124,1.1016,1.10103,1.1016
2024-09-11 16:45:00,1.1016,1.1017,1.10132,1.1016
2024-09-11 17:00:00,1.1016,1.10205,1.10155,1.1018
2024-09-11 17:15:00,1.10179,1.10208,1.10158,1.10164
2024-09-11 17:30:00,1.10165,1.10192,1.10152,1.10179
2024-09-11 17:45:00,1.10178,1.1021,1.10174,1.10187
2024-09-11 18:00:00,1.10188,1.10214,1.10183,1.10202
2024-09-11 18:15:00,1.10202,1.1021,1.1019,1.10202
2024-09-11 18:30:00,1.10202,1.10228,1.1019,1.10223
2024-09-11 18:45:00,1.10224,1.10224,1.10181,1.10184
2024-09-11 19:00:00,1.10182,1.10234,1.1018,1.10232
2024-09-11 19:15:00,1.10233,1.10266,1.10227,1.10245
2024-09-11 19:30:00,1.10246,1.10246,1.1016,1.10174
2024-09-11 19:45:00,1.10174,1.10201,1.10164,1.10176
2024-09-11 20:00:00,1.10176,1.10182,1.10155,1.10159
2024-09-11 20:15:00,1.10158,1.10166,1.10145,1.10155
2024-09-11 20:30:00,1.10154,1.10161,1.10146,1.10148
2024-09-11 20:45:00,1.10148,1.10152,1.10112,1.10114
2024-09-11 21:00:00,1.10142,1.10146,1.10138,1.10138
2024-09-11 21:15:00,1.10138,1.10142,1.10131,1.10135
2024-09-11 21:30:00,1.10136,1.10143,1.10133,1.10138
2024-09-11 21:45:00,1.10139,1.10142,1.10128,1.10132
2024-09-11 22:00:00,1.10131,1.10154,1.10126,1.10147
2024-09-11 22:15:00,1.10148,1.10148,1.10128,1.10129
2024-09-11 22:30:00,1.10128,1.1013,1.10119,1.10119
2024-09-11 22:45:00,1.10119,1.10132,1.10114,1.10124
2024-09-11 23:00:00,1.10124,1.10132,1.10114,1.10115
2024-09-11 23:15:00,1.10114,1.10123,1.10109,1.10109
2024-09-11 23:30:00,1.10111,1.10128,1.10108,1.10118
2024-09-11 23:45:00,1.10118,1.10124,1.10104,1.10105
2024-09-12 00:00:00,1.10104,1.1012,1.10093,1.10096
2024-09-12 00:15:00,1.10095,1.10098,1.10073,1.10084
2024-09-12 00:30:00,1.10085,1.1009,1.10072,1.10079
2024-09-12 00:45:00,1.10079,1.10091,1.10061,1.10069
2024-09-12 01:00:00,1.10069,1.10104,1.10066,1.10094
2024-09-12 01:15:00,1.10093,1.10103,1.10084,1.10094
2024-09-12 01:30:00,1.10094,1.10128,1.10089,1.10125
2024-09-12 01:45:00,1.10125,1.1013,1.1011,1.10114
2024-09-12 02:00:00,1.10114,1.10119,1.10078,1.10082
2024-09-12 02:15:00,1.10084,1.10107,1.10081,1.10105
2024-09-12 02:30:00,1.10105,1.10119,1.10105,1.10118
2024-09-12 02:45:00,1.10117,1.10125,1.10094,1.10099
2024-09-12 03:00:00,1.101,1.10128,1.10099,1.10119
2024-09-12 03:15:00,1.10119,1.10139,1.10116,1.10135
2024-09-12 03:30:00,1.10134,1.10139,1.10126,1.10128
2024-09-12 03:45:00,1.10129,1.10143,1.10128,1.10138
2024-09-12 04:00:00,1.10139,1.10156,1.10138,1.10153
2024-09-12 04:15:00,1.10154,1.10165,1.10149,1.1016
2024-09-12 04:30:00,1.1016,1.1016,1.10146,1.10158
2024-09-12 04:45:00,1.10158,1.1017,1.10157,1.10164
2024-09-12 05:00:00,1.10164,1.10171,1.10153,1.1017
2024-09-12 05:15:00,1.1017,1.1017,1.10156,1.10168
2024-09-12 05:30:00,1.10168,1.10186,1.10166,1.10176
2024-09-12 05:45:00,1.10175,1.10221,1.10174,1.1022
2024-09-12 06:00:00,1.10218,1.10218,1.10175,1.10206
2024-09-12 06:15:00,1.10206,1.1024,1.10184,1.10187
2024-09-12 06:30:00,1.10186,1.10206,1.10174,1.10184
2024-09-12 06:45:00,1.10184,1.10185,1.10078,1.10082
2024-09-12 07:00:00,1.10083,1.1012,1.10067,1.10104
2024-09-12 07:15:00,1.10103,1.1014,1.10061,1.10138
2024-09-12 07:30:00,1.10138,1.1016,1.10124,1.1013
2024-09-12 07:45:00,1.10129,1.10134,1.10075,1.1008
2024-09-12 08:00:00,1.10079,1.10114,1.10056,1.10105
2024-09-12 08:15:00,1.10105,1.10179,1.10066,1.10172
2024-09-12 08:30:00,1.10172,1.1022,1.10158,1.1021
2024-09-12 08:45:00,1.10212,1.10215,1.10141,1.10157
2024-09-12 09:00:00,1.10158,1.10196,1.10158,1.10194
2024-09-12 09:15:00,1.10195,1.10202,1.10164,1.10186
2024-09-12 09:30:00,1.10186,1.10202,1.10162,1.10173
2024-09-12 09:45:00,1.10172,1.10184,1.10128,1.10146
2024-09-12 10:00:00,1.10147,1.10189,1.10147,1.10188
2024-09-12 10:15:00,1.10189,1.102,1.10172,1.10186
2024-09-12 10:30:00,1.10186,1.10216,1.1017,1.10216
2024-09-12 10:45:00,1.10216,1.10236,1.10197,1.1022
2024-09-12 11:00:00,1.10219,1.1023,1.10187,1.10188
2024-09-12 11:15:00,1.10188,1.1021,1.10173,1.10195
2024-09-12 11:30:00,1.10195,1.10236,1.10174,1.10184
2024-09-12 11:45:00,1.10185,1.10188,1.1013,1.10138
2024-09-12 12:00:00,1.10139,1.10178,1.10102,1.10127
2024-09-12 12:15:00,1.10119,1.10266,1.10079,1.10212
2024-09-12 12:30:00,1.10209,1.10304,1.10115,1.10227
2024-09-12 12:45:00,1.10227,1.10327,1.10216,1.10252
2024-09-12 13:00:00,1.10252,1.1041,1.10248,1.10342
2024-09-12 13:15:00,1.10342,1.10398,1.10266,1.10396
2024-09-12 13:30:00,1.10396,1.10404,1.10299,1.10378
2024-09-12 13:45:00,1.1038,1.104,1.10354,1.10371
2024-09-12 14:00:00,1.1037,1.10382,1.10325,1.10356
2024-09-12 14:15:00,1.10357,1.104,1.10327,1.10369
2024-09-12 14:30:00,1.10368,1.10415,1.10299,1.10405
2024-09-12 14:45:00,1.10405,1.10473,1.10378,1.10401
2024-09-12 15:00:00,1.10402,1.10405,1.10362,1.10369
2024-09-12 15:15:00,1.1037,1.1037,1.10309,1.10345
2024-09-12 15:30:00,1.10344,1.10393,1.10336,1.10374
2024-09-12 15:45:00,1.10374,1.1043,1.10342,1.10402
2024-09-12 16:00:00,1.10402,1.1048,1.10402,1.10444
2024-09-12 16:15:00,1.10444,1.10481,1.10418,1.1042
2024-09-12 16:30:00,1.10419,1.10431,1.10372,1.10386
2024-09-12 16:45:00,1.10386,1.1048,1.1038,1.10462
2024-09-12 17:00:00,1.10463,1.1051,1.10448,1.10466
2024-09-12 17:15:00,1.10466,1.10487,1.10434,1.10465
2024-09-12 17:30:00,1.10466,1.10476,1.10427,1.10442
2024-09-12 17:45:00,1.10441,1.10569,1.10426,1.10565
2024-09-12 18:00:00,1.10566,1.10566,1.10514,1.10553
2024-09-12 18:15:00,1.10553,1.10615,1.10553,1.10604
2024-09-12 18:30:00,1.10603,1.10623,1.10582,1.1059
2024-09-12 18:45:00,1.1059,1.10625,1.10584,1.10609
2024-09-12 19:00:00,1.1061,1.1066,1.106,1.10646
2024-09-12 19:15:00,1.10645,1.1066,1.10636,1.10656
2024-09-12 19:30:00,1.10657,1.10719,1.10657,1.107
2024-09-12 19:45:00,1.107,1.10705,1.10669,1.10705
2024-09-12 20:00:00,1.10706,1.1072,1.10685,1.10717
2024-09-12 20:15:00,1.10718,1.10752,1.10712,1.10745
2024-09-12 20:30:00,1.10746,1.10749,1.10726,1.10748
2024-09-12 20:45:00,1.10748,1.10752,1.10729,1.10748
2024-09-12 21:00:00,1.1074,1.1074,1.10731,1.10735
2024-09-12 21:15:00,1.10735,1.10735,1.10724,1.10733
2024-09-12 21:30:00,1.10734,1.10738,1.10733,1.10737
2024-09-12 21:45:00,1.10736,1.10744,1.10734,1.1074
2024-09-12 22:00:00,1.10743,1.10756,1.10724,1.10732
2024-09-12 22:15:00,1.10731,1.10732,1.10705,1.10714
2024-09-12 22:30:00,1.10713,1.10744,1.10712,1.1074
2024-09-12 22:45:00,1.10742,1.10742,1.1072,1.1072
2024-09-12 23:00:00,1.10719,1.10758,1.10718,1.10752
2024-09-12 23:15:00,1.10753,1.10761,1.10744,1.10754
2024-09-12 23:30:00,1.10753,1.10758,1.10738,1.10755
2024-09-12 23:45:00,1.10756,1.10793,1.10755,1.10791
2024-09-13 00:00:00,1.10788,1.10832,1.10778,1.10826
2024-09-13 00:15:00,1.10826,1.10845,1.10818,1.10828
2024-09-13 00:30:00,1.10828,1.10866,1.10805,1.10861
2024-09-13 00:45:00,1.10862,1.10875,1.10843,1.10872
2024-09-13 01:00:00,1.10874,1.1089,1.10866,1.10871
2024-09-13 01:15:00,1.1087,1.10885,1.10841,1.10849
2024-09-13 01:30:00,1.1085,1.1086,1.10816,1.10819
2024-09-13 01:45:00,1.1082,1.10822,1.10805,1.10818
2024-09-13 02:00:00,1.10818,1.10884,1.10795,1.10881
2024-09-13 02:15:00,1.10882,1.109,1.10873,1.10889
2024-09-13 02:30:00,1.10888,1.10894,1.10858,1.1086
2024-09-13 02:45:00,1.1086,1.10887,1.10855,1.1087
2024-09-13 03:00:00,1.1087,1.1087,1.10843,1.10865
2024-09-13 03:15:00,1.10864,1.10889,1.10843,1.10886
2024-09-13 03:30:00,1.10886,1.10903,1.10862,1.10865
2024-09-13 03:45:00,1.10865,1.10875,1.10856,1.10871
2024-09-13 04:00:00,1.10871,1.10882,1.10862,1.10867
2024-09-13 04:15:00,1.10868,1.10872,1.10862,1.10862
2024-09-13 04:30:00,1.10863,1.10885,1.10853,1.10854
2024-09-13 04:45:00,1.10854,1.10869,1.10842,1.10846
2024-09-13 05:00:00,1.10846,1.10848,1.10828,1.10828
2024-09-13 05:15:00,1.10829,1.10848,1.10823,1.10835
2024-09-13 05:30:00,1.10836,1.10865,1.10832,1.10856
2024-09-13 05:45:00,1.10856,1.10856,1.10817,1.10827
2024-09-13 06:00:00,1.10828,1.10848,1.10802,1.10802
2024-09-13 06:15:00,1.10803,1.10809,1.10752,1.10761
2024-09-13 06:30:00,1.10762,1.1079,1.10747,1.10778
2024-09-13 06:45:00,1.10776,1.10797,1.10748,1.1079
2024-09-13 07:00:00,1.1079,1.10799,1.10745,1.1075
2024-09-13 07:15:00,1.1075,1.10822,1.10732,1.10816
2024-09-13 07:30:00,1.10816,1.10874,1.10812,1.10871
2024-09-13 07:45:00,1.1087,1.10944,1.10845,1.10925
2024-09-13 08:00:00,1.10926,1.10934,1.10902,1.10913
2024-09-13 08:15:00,1.10912,1.10935,1.10879,1.109
2024-09-13 08:30:00,1.109,1.10925,1.10861,1.10865
2024-09-13 08:45:00,1.10865,1.10941,1.10865,1.10929
2024-09-13 09:00:00,1.1093,1.10945,1.10884,1.10909
2024-09-13 09:15:00,1.10908,1.10968,1.10886,1.1095
2024-09-13 09:30:00,1.10951,1.11004,1.10934,1.10995
2024-09-13 09:45:00,1.10995,1.1101,1.10913,1.1092
2024-09-13 10:00:00,1.1092,1.10934,1.10882,1.10905
2024-09-13 10:15:00,1.10906,1.10927,1.10891,1.10926
2024-09-13 10:30:00,1.10926,1.10975,1.10894,1.10968
2024-09-13 10:45:00,1.10968,1.10968,1.10869,1.10905
2024-09-13 11:00:00,1.10908,1.10932,1.10881,1.10912
2024-09-13 11:15:00,1.10911,1.10912,1.1087,1.10876
2024-09-13 11:30:00,1.10875,1.10894,1.10825,1.10836
2024-09-13 11:45:00,1.10836,1.10855,1.10814,1.10844
2024-09-13 12:00:00,1.10845,1.10854,1.10793,1.10848
2024-09-13 12:15:00,1.10849,1.10886,1.10832,1.10842
2024-09-13 12:30:00,1.10842,1.10899,1.10808,1.10869
2024-09-13 12:45:00,1.1087,1.10935,1.1083,1.1093
2024-09-13 13:00:00,1.10931,1.1102,1.10924,1.10994
2024-09-13 13:15:00,1.10995,1.10998,1.10919,1.10934
2024-09-13 13:30:00,1.10935,1.10963,1.1091,1.10914
2024-09-13 13:45:00,1.10916,1.10957,1.1088,1.10948
2024-09-13 14:00:00,1.10948,1.10956,1.10859,1.10906
2024-09-13 14:15:00,1.10905,1.10942,1.10872,1.10909
2024-09-13 14:30:00,1.10909,1.10944,1.1088,1.10931
2024-09-13 14:45:00,1.10932,1.10934,1.10845,1.1089
2024-09-13 15:00:00,1.10891,1.1092,1.10856,1.10868
2024-09-13 15:15:00,1.10869,1.10902,1.10838,1.10876
2024-09-13 15:30:00,1.10876,1.10881,1.10826,1.10832
2024-09-13 15:45:00,1.10832,1.10866,1.10822,1.10846
2024-09-13 16:00:00,1.10846,1.10851,1.10788,1.10816
2024-09-13 16:15:00,1.10816,1.10836,1.10787,1.10823
2024-09-13 16:30:00,1.10824,1.10826,1.1077,1.10775
2024-09-13 16:45:00,1.10775,1.1084,1.10772,1.1084
2024-09-13 17:00:00,1.1084,1.1086,1.10816,1.10831
2024-09-13 17:15:00,1.1083,1.1085,1.10821,1.10835
2024-09-13 17:30:00,1.10836,1.10843,1.1081,1.10821
2024-09-13 17:45:00,1.1082,1.10828,1.10804,1.10817
2024-09-13 18:00:00,1.10817,1.10836,1.10807,1.10834
2024-09-13 18:15:00,1.10834,1.10848,1.10818,1.10837
2024-09-13 18:30:00,1.10838,1.10838,1.10804,1.10814
2024-09-13 18:45:00,1.10813,1.10816,1.10768,1.10782
2024-09-13 19:00:00,1.10781,1.10784,1.10762,1.10783
2024-09-13 19:15:00,1.10782,1.10815,1.10782,1.10803
2024-09-13 19:30:00,1.10802,1.10804,1.10775,1.10776
2024-09-13 19:45:00,1.10775,1.10783,1.10766,1.1078
2024-09-13 20:00:00,1.1078,1.10784,1.10763,1.10764
2024-09-13 20:15:00,1.10764,1.10774,1.10745,1.10752
2024-09-13 20:30:00,1.10752,1.10759,1.10734,1.10734
2024-09-13 20:45:00,1.10734,1.10749,1.10729,1.10746
2024-09-13 21:15:00,1.10783,1.1079,1.10767,1.1077
2024-09-13 21:30:00,1.10771,1.10791,1.10762,1.10764
2024-09-13 21:45:00,1.10765,1.108,1.1076,1.1078
2024-09-15 22:00:00,1.10788,1.10826,1.10774,1.1081
2024-09-15 22:15:00,1.10811,1.10863,1.10808,1.10861
2024-09-15 22:30:00,1.10862,1.10871,1.10854,1.10866
2024-09-15 22:45:00,1.10869,1.10876,1.10855,1.10869
2024-09-15 23:00:00,1.10871,1.10872,1.10851,1.10857
2024-09-15 23:15:00,1.10856,1.1088,1.10856,1.10872
2024-09-15 23:30:00,1.10872,1.10896,1.10871,1.10892
2024-09-15 23:45:00,1.10892,1.10894,1.10874,1.10875
2024-09-16 00:00:00,1.10874,1.10905,1.10871,1.10894
2024-09-16 00:15:00,1.10894,1.10916,1.10894,1.1091
2024-09-16 00:30:00,1.1091,1.10924,1.10905,1.10913
2024-09-16 00:45:00,1.10912,1.10925,1.10896,1.10896
2024-09-16 01:00:00,1.10896,1.10915,1.1088,1.10902
2024-09-16 01:15:00,1.10901,1.10925,1.10895,1.10921
2024-09-16 01:30:00,1.10922,1.10928,1.1089,1.1089
2024-09-16 01:45:00,1.10891,1.10898,1.10876,1.1088
2024-09-16 02:00:00,1.1088,1.10894,1.10871,1.10872
2024-09-16 02:15:00,1.10873,1.10891,1.10869,1.10881
2024-09-16 02:30:00,1.10882,1.10892,1.1087,1.1089
2024-09-16 02:45:00,1.1089,1.10912,1.10887,1.10892
2024-09-16 03:00:00,1.10892,1.10906,1.10881,1.109
2024-09-16 03:15:00,1.109,1.1098,1.10899,1.10971
2024-09-16 03:30:00,1.10972,1.11002,1.10971,1.10998
2024-09-16 03:45:00,1.10998,1.11049,1.10992,1.11042
2024-09-16 04:00:00,1.11042,1.11049,1.11022,1.11046
2024-09-16 04:15:00,1.11046,1.11049,1.11004,1.1101
2024-09-16 04:30:00,1.1101,1.1101,1.10978,1.1098
2024-09-16 04:45:00,1.10981,1.10989,1.1097,1.10973
2024-09-16 05:00:00,1.1097,1.10994,1.10963,1.10964
2024-09-16 05:15:00,1.10966,1.10976,1.10965,1.10973
2024-09-16 05:30:00,1.10972,1.10973,1.10958,1.10971
2024-09-16 05:45:00,1.10972,1.10997,1.10972,1.10984
2024-09-16 06:00:00,1.10984,1.11018,1.10977,1.10993
2024-09-16 06:15:00,1.10992,1.11046,1.10982,1.11024
2024-09-16 06:30:00,1.11025,1.11097,1.1102,1.11077
2024-09-16 06:45:00,1.11078,1.1116,1.11069,1.11147
2024-09-16 07:00:00,1.11148,1.11148,1.11098,1.11117
2024-09-16 07:15:00,1.11118,1.1113,1.11097,1.11107
2024-09-16 07:30:00,1.11106,1.11199,1.11106,1.11187
2024-09-16 07:45:00,1.11188,1.112,1.11135,1.11151
2024-09-16 08:00:00,1.1115,1.11192,1.1114,1.11188
2024-09-16 08:15:00,1.11188,1.11233,1.11184,1.11228
2024-09-16 08:30:00,1.11227,1.11233,1.11195,1.11217
2024-09-16 08:45:00,1.11217,1.11263,1.112,1.11229
2024-09-16 09:00:00,1.1123,1.11293,1.11196,1.1128
2024-09-16 09:15:00,1.11281,1.1129,1.11256,1.11281
2024-09-16 09:30:00,1.11282,1.11295,1.11215,1.11222
2024-09-16 09:45:00,1.11223,1.11236,1.11182,1.11207
2024-09-16 10:00:00,1.11206,1.11258,1.11204,1.11244
2024-09-16 10:15:00,1.11244,1.11279,1.11243,1.11268
2024-09-16 10:30:00,1.11268,1.11284,1.1121,1.1121
2024-09-16 10:45:00,1.1121,1.11234,1.11202,1.11221
2024-09-16 11:00:00,1.11222,1.11259,1.11196,1.11198
2024-09-16 11:15:00,1.11199,1.11215,1.11161,1.11207
2024-09-16 11:30:00,1.11208,1.11256,1.11203,1.11236
2024-09-16 11:45:00,1.11236,1.11242,1.11233,1.11239
2024-09-16 12:00:00,1.11271,1.11287,1.11232,1.11265
2024-09-16 12:15:00,1.11266,1.11301,1.11238,1.11297
2024-09-16 12:30:00,1.11298,1.11328,1.11166,1.11202
2024-09-16 12:45:00,1.11202,1.11254,1.112,1.1125
2024-09-16 13:00:00,1.11251,1.11271,1.11235,1.11266
2024-09-16 13:15:00,1.11265,1.11316,1.11244,1.11308
2024-09-16 13:30:00,1.11307,1.11378,1.11302,1.11324
2024-09-16 13:45:00,1.11323,1.11324,1.11266,1.11296
2024-09-16 14:00:00,1.11296,1.11301,1.11206,1.11248
2024-09-16 14:15:00,1.11249,1.11286,1.11246,1.11279
2024-09-16 14:30:00,1.11279,1.11308,1.11189,1.11196
2024-09-16 14:45:00,1.11196,1.11252,1.11182,1.11239
2024-09-16 15:00:00,1.11238,1.11239,1.11192,1.11217
2024-09-16 15:15:00,1.11218,1.11246,1.11205,1.11232
2024-09-16 15:30:00,1.11232,1.1124,1.11168,1.11205
2024-09-16 15:45:00,1.11204,1.11228,1.11172,1.11227
2024-09-16 16:00:00,1.11227,1.11269,1.11211,1.11212
2024-09-16 16:15:00,1.11212,1.11246,1.11196,1.11242
2024-09-16 16:30:00,1.11244,1.11281,1.1124,1.1128
2024-09-16 16:45:00,1.1128,1.11302,1.11261,1.1129
2024-09-16 17:00:00,1.11291,1.11301,1.1124,1.1124
2024-09-16 17:15:00,1.11241,1.11258,1.1121,1.11224
2024-09-16 17:30:00,1.11222,1.11226,1.11163,1.11201
2024-09-16 17:45:00,1.11202,1.1124,1.11182,1.11234
2024-09-16 18:00:00,1.11236,1.11245,1.11205,1.11208
2024-09-16 18:15:00,1.1121,1.11237,1.11201,1.11232
2024-09-16 18:30:00,1.11232,1.11246,1.11223,1.11224
2024-09-16 18:45:00,1.11222,1.1123,1.11198,1.1121
2024-09-16 19:00:00,1.1121,1.11226,1.11194,1.11194
2024-09-16 19:15:00,1.11195,1.11232,1.11188,1.11217
2024-09-16 19:30:00,1.11218,1.11268,1.11214,1.1126
2024-09-16 19:45:00,1.1126,1.11299,1.11258,1.11291
2024-09-16 20:00:00,1.1129,1.11304,1.11281,1.11295
2024-09-16 20:15:00,1.11295,1.11304,1.11287,1.11299
2024-09-16 20:30:00,1.11298,1.11332,1.11296,1.11329
2024-09-16 20:45:00,1.11329,1.11336,1.11324,1.11329
2024-09-16 21:00:00,1.11329,1.1133,1.11318,1.11318
2024-09-16 21:15:00,1.11318,1.11322,1.11315,1.11319
2024-09-16 21:30:00,1.1132,1.11327,1.11315,1.11321
